epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.424,1.90511,2.57674,1.32432,0.67034,0.57844,0.60671,0.26288,1.92185,2.63074,1.51257,0.000553857,0.000553857,0.000553857
2,205.341,1.95806,1.83988,1.42968,0.37859,0.56807,0.38302,0.15331,1.83063,3.08067,1.40903,0.00108755,0.00108755,0.00108755
3,290.467,1.97049,1.63941,1.43081,0.51566,0.47055,0.48808,0.21306,1.91671,1.78952,1.51305,0.00159925,0.00159925,0.00159925
4,377.483,1.97029,1.57061,1.45575,0.53291,0.51085,0.47341,0.21223,1.93971,2.11699,1.53178,0.00156798,0.00156798,0.00156798
5,464.031,1.88539,1.50207,1.4164,0.57018,0.62579,0.61548,0.27239,1.84954,1.35533,1.45164,0.00153497,0.00153497,0.00153497
6,549.752,1.86584,1.39631,1.38638,0.60299,0.58883,0.59353,0.25243,1.78874,1.42972,1.40083,0.00150197,0.00150197,0.00150197
7,634.969,1.83261,1.38431,1.37995,0.60857,0.64607,0.63899,0.28737,1.78728,1.32147,1.41069,0.00146896,0.00146896,0.00146896
8,721.118,1.82436,1.35446,1.37577,0.65872,0.64005,0.67489,0.32348,1.71082,1.19309,1.36568,0.00143595,0.00143595,0.00143595
9,806.729,1.80086,1.333,1.36653,0.67481,0.64398,0.67422,0.31374,1.74598,1.1788,1.39311,0.00140295,0.00140295,0.00140295
10,891.326,1.80165,1.29201,1.36155,0.65208,0.6288,0.66264,0.31716,1.74909,1.20775,1.38566,0.00136994,0.00136994,0.00136994
11,977.111,1.77564,1.26613,1.34976,0.62479,0.7038,0.6729,0.32446,1.67225,1.1239,1.34761,0.00133693,0.00133693,0.00133693
12,1062.82,1.78548,1.22543,1.34042,0.7278,0.68262,0.7193,0.34063,1.71805,1.06935,1.35538,0.00130393,0.00130393,0.00130393
13,1148.2,1.76751,1.21035,1.33734,0.68769,0.65504,0.66189,0.31466,1.74055,1.14344,1.42364,0.00127092,0.00127092,0.00127092
14,1234.81,1.75592,1.20298,1.33944,0.68609,0.71063,0.70012,0.33843,1.70524,1.10732,1.36879,0.00123791,0.00123791,0.00123791
15,1321.1,1.75354,1.18177,1.32024,0.69009,0.68305,0.71342,0.35857,1.64739,1.10544,1.32556,0.00120491,0.00120491,0.00120491
16,1406.66,1.73557,1.17598,1.3231,0.68689,0.68182,0.72204,0.35278,1.69032,1.02721,1.3611,0.0011719,0.0011719,0.0011719
17,1493.73,1.71858,1.15459,1.29942,0.74414,0.7184,0.74873,0.36929,1.63548,1.00758,1.31357,0.00113889,0.00113889,0.00113889
